"Now Shopping by",現在買い物をしている人
"For better results, add attributes and attribute values to your products.",更なる効果のために、商品に属性と属性値を追加しましょう。
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).",コンフィグ製品により、顧客はオプション（例：シャツの色）を選択できます。各構成（例：各色の製品）ごとにシンプル製品を作成する必要があります。
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.",ダウンロード可能なファイルを持つ標準製品の構成は作成できません。構成を作成するには、まずダウンロード可能なすべてのファイルを削除します。
"Add Products Manually",商品を手動で追加
"Create Configurations",設定を作成
"Current Variations",現在のバリエーション
"Custom options with price type ""percent"" is not available for configurable product.","コンフィグ製品では、価格タイプ ""パーセント""のカスタムオプションは使用できません。"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.",このグループはコンフィグ商品で使われる属性が含まれます。これらの属性を別のグループに移動して再度お試し下さい。
"This attribute is used in configurable products. You cannot remove it from the attribute set.",この属性はコンフィグ商品で使用されているため、属性セットから削除できません。
"Step 3: Bulk Images, Price and Quantity",ステップ3：バルクイメージ、価格および数量
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.",あなたの選択に基づいて、%1の新製品が作成されます。このステップを使用して、新製品のイメージと価格をカスタマイズします。
"Apply single set of images to all SKUs",1つのセットの画像を全てのSKUに適用する
"Apply unique images by attribute to each SKU",各SKUの属性によるユニーク画像を適用
"Skip image uploading at this time",今回の画像アップロードをスキップ
"Remove image",画像削除
"Select attribute",属性選択
"Apply single price to all SKUs",単一価格を全てのSKUに適用
"Apply unique prices by attribute to each SKU",属性によるユニークプライスを各SKUに適用
"Skip price at this time",今回価格スキップ
"Apply single quantity to each SKUs",シングル数量を各SKUに適用
"Apply unique quantity by attribute to each SKU",属性によるユニーク数量を各SKUに適用
"Skip quantity at this time",今回数量をスキップ
"Step 1: Select Attributes","スキップ1: 属性を選択"
"Selected Attributes:",選択された属性:
"Step 4: Summary","ステップ4: サマリー"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","コンフィグ製品により、顧客はオプション（例：シャツの色）を選択できます。
            各構成（例：各色の製品）ごとにシンプル製品を作成する必要があります。"
"Upload Image",画像アップロード
"Upload image",画像をアップロード
"No Image",画像なし
"Choose a different Product",別の商品を選択してください
"Create Product Configurations",商品設定をしてください
"New Product Review",新製品レビュー
"Here are the products you're about to create.",作成しようとしている製品は次のとおりです。
"You created these products for this configuration.",この構成では、これらの製品を作成しました。
"Disassociated Products",分離された製品
"These products are not associated.",これらの製品は関連していません。
"Disable Product",製品を無効にする
"Enable Product",有効
"An attribute has been removed. This attribute will no longer appear in your configurations.",属性は削除されました。この属性が設定には今後現れません。
"Select options for all attributes or remove unused attributes.",全ての属性のオプションを選択するか使われてない属性を削除してください。
"Please select attribute for {section} section.",{section}セクションの属性を選択してください。
"Please fill in the values for {section} section.",{section}セクションの値を入力してください。
"Please fill-in correct values.",正しい値を記入してください。
"Please select image(s) for your attribute.",あなたの属性の画像を選択してください。
"Please choose image(s).",画像を選択してください
"Please select attribute(s).",属性を選択してください。
"Generate Products",製品作成
"Configurable Product Image",コンフィグ商品の画像
"As low as: ","同じかそれ以下: "
"Could not update option with id ""%1""","id ""%1""のオプションをアップデート出来ませんでした"
"Product already has this option",商品は既にこのオプションをもっています
"The configurable product does not have any variation attribute.",コンフィグ商品はバリエーション属性を全く持っていません。
"Product with id ""%1"" does not exist.","id ""%1"" の商品は存在しません。"
"Products ""%1"" and %2 have the same set of attribute values.","商品 ""%1"" と %2 は同じセットの属性値を持っています。"
"Configurable product ""%1"" do not have sub-products","コンフィグ商品 ""%1"" サブ商品がありません"
"Step 3: Bulk Images, Price, and Quantity","ステップ 3: 一括画像、価格、および数量"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","この <span class=""new-products-count"" data-bind=""text:countVariations""></span>選択を元に、新商品が作られます。このステップを使って商品の画像と価格をカスタマイズしてください。"
"Edit role",ロール編集
"Please, select attribute for the section ","セクションの属性を設定してください。 "
"Please fill in the values for the section ","セクションに値を入力してください。 "
"Please, fill correct values",正しい値を入力してください、
"Please, select image(s) for your attribute",属性の画像を選択してください。
"Please choose image(s)",画像を選択してください。
"Please, select attribute(s)",属性を選択してください。
"The product is already attached.",商品は既にひも付けされています。
"The parent product doesn't have configurable product options.",親製品に設定可能な製品オプションがありません。
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","子プロダクトには属性値 ""%1"" がありません。値を確認して再度お試し下さい。"
"The product with the ""%1"" SKU isn't a configurable product.","SKU ""%1"" の商品はコンフィグ商品ではありません。"
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","要求されたエンティティ ""%1"" が存在しません。エンティティを確認して再度お試し下さい。"
"The variations from the ""%1"" product can't be deleted.","""%1"" 商品からバリエーションを削除できません。"
"An error occurred while saving the option. Please try to save again.",オプションを保存中にエラーが発生しました。後で保存して下さい。
"This is implemented for the ""%1"" configurable product only.","これは、コンフィグ商品 ""%1"" に対してのみ実装されています。"
"Contribution must have attributes specified. Enter attributes and try again.",投稿には属性を指定する必要があります。属性を入力して再度お試し下さい。
"Configurable product ""%1"" does not have sub-products","コンフィグ商品 ""%1"" には子商品がありません"
"We can't find the role for the user you wanted.",希望のユーザーのためのロールが見つかりません。
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.",許可されたリソースのリストをコンパイリング中に問題が発生しました。例外ログにて詳細が見つかります。
"The role wasn't found for the user. Verify the role and try again.",ユーザのアクセス権が確認できませんでした。権限の設定を確認して再度お試し下さい。
"System Backup",システムバックアップ
"Database and Media Backup",データベースとメディアバックアップ
"Database Backup",データベースバックアップ
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Windowsシステムでは<a href=""""%1"""">%2</a>でアーカイブを解凍できます。"
"You need more permissions to activate maintenance mode right now.",メンテナンスモードにするには更に権限が必要です。
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","バックアップを作るために、 ""Put store into maintenance mode"" の選択を外すか権限をアップデートしてください。"
"Something went wrong while putting your store into maintenance mode.",ストアをメンテナンスモードに変更中に問題が発生しました。
"You need more free space to create a backup.",バックアップを作成するにはもっと容量が必要です。
"You need more permissions to create a backup.",バックアップを作成するにはもっと権限が必要です。
"We can't create the backup right now.",現在バックアップを作成できません。
Backups,バックアップ
Backup,バックアップ
"We can't delete one or more backups.",1つ以上のバックアップを削除できません。
failed,失敗
successful,成功
"You deleted the selected backup(s).",選択したバックアップを削除しました。
"Can't load snapshot archive",スナップショットのアーカイブの読み込みができませんでした。
"Please correct the password.",パスワードを修正してください。
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","ロールバックを完了するには、 ""Put store into maintenance mode"" の選択を外すか権限をアップデートしてください。"
"We can't find the backup file.",バックアップファイルが見つかりませんでした。
"We can't connect to the FTP right now.",現在FTPに接続できません。
"Failed to validate FTP.",FTPの認証に失敗しました。
"You need more permissions to perform a rollback.",ロールバックを実行するには権限が足りません。
"Failed to rollback.",ロールバック失敗
"Database and Media",データベースとメディア
"System (excluding Media)","システム (メディア以外)"
"You created the system backup.",システムバックアップを作成しました。
"You created the system backup (excluding media).","システムバックアップを作成しました (メディアを除く)."
"You created the database and media backup.",データベースとメディアのバックアップを作成しました。
"You created the database backup.",データベースのバックアップを作成しました。
"Please correct the order of creation for a new backup.",新しいバックアップのために作成順を修正してください。
"The backup file does not exist.",バックアップファイルは存在しません。
"The backup file path was not specified.",バックアップファイルのパスが指定されていません。
"The backup file ""%1"" does not exist.","バックアップファイル""%1""は存在しません。"
"Sorry, but we cannot read from or write to backup file ""%1"".","申し訳ありませんがバックアップファイル""%1""を読むことも書き込むこともできません。"
"The backup file handler was unspecified.",バックアップファイルハンドラーが不明です。
"Something went wrong while writing to the backup file ""%1"".","バックアップ ""%1""に書き込み中に問題が発生しました。"
"You will lose any data created since the backup was made, including admin users, customers and orders.",バックアップが作成後の管理者ユーザー、顧客、注文を含む全てのデータを失います。
"Are you sure you want to continue?",作業を続けますか？
"This may take a few moments.",少々お待ち下さい。
"Be sure your store is in maintenance mode during backup.",バックアップ中はストアがメンテナンスモードになっていることをご確認ください。
"Backup Name",バックアップ名
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",半角英数字またはスペースを使用してください。
"Maintenance mode",メンテナンスモード
"Please put your store into maintenance mode during backup.",バックアップ中はストアをメンテナンスモードにしてください。
"Exclude media folder from backup",メディアフォルダをバックアップから除外する
"Please enter the password to confirm rollback.",ロールバックを確認するためにパスワードを入力してください。
"This action cannot be undone.",このアクションは取り消せません。
"User Password",パスワード
"Please put your store into maintenance mode during rollback processing.",ロールバック作業中はストアをメンテナンスモードにしてください。
"Use FTP Connection",FTP接続を使用
"FTP credentials",FTP証明書
"FTP Host",FTPホスト
"FTP Login",FTPログインID
"FTP Password",FTPパスワード
"Magento root directory",Magentoルートディレクトリ
"Create Backup",バックアップ作成
Rollback,ロールバック
"Scheduled Backup Settings",定期バックアップ設定
"Enable Scheduled Backup",スケジュールバックアップを有効にする
"Backup Type",バックアップ種別
"Maintenance Mode",メンテナンスモード
"Are you sure you want to delete the selected backup(s)?",選択したバックアップを削除してもいいですか?
Size(bytes),サイズ(bytes)
"Backup Settings",バックアップ設定
"Enable Backup",バックアップを有効化
"Edit Event",イベントの編集
"Add Event",イベントを追加
"Add Catalog Event",カタログイベントを追加
"Back to Category",カテゴリに戻る
"Edit Catalog Event",カタログイベントを編集
"Catalog Event Information",カタログイベント情報
"Display Countdown Ticker On",カウントダウンティッカー表示位置
"Category Page",カテゴリページ
"Product Page",商品ページ
"Coming Soon",近日公開
"Sale Ends In",セール終了日
"You deleted the event.",イベントを削除しました。
"New Event",新しいイベント
"Something went wrong while saving this event.",このイベントを保存中に何か問題が発生しました。
"We did not upload your image.",あなたのイメージはアップロードされませんでした。
"You saved the event.",イベントを保存しました。
"%1 is required.","%1 is は必須です。"
"Please make sure the end date follows the start date.",終了日が開始日の後にあることを確認してください。
"Event for selected category",選択したカテゴリのイベント
"Lister Block",リストブロック
"This product is no longer on sale.",この製品は販売されていません。
"Some of these products can no longer be sold.",これらの製品の一部はもはや販売できません。
Days,日
Sec,秒
"Preview Sale",セールをプレビュー
"Go To Sale",セール会場に移動する
"View Sale",セールを表示
"Catalog Events",カタログイベント
"Enable Catalog Events Functionality",カタログイベント機能を有効にする
"Enable Catalog Event Widget on Storefront",ストアでカタログイベントウィジェットを有効にする
"Number of Events to be Displayed in Event Slider Widget",イベントスライダーウィジェットに表示するイベントの数
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","limit = ""x"" 変数を使用して、このデフォルト値をCMSで上書きすることができます。 制限なしの場合は空のままにします。"
"Events to Scroll per Click in Event Slider Widget",イベントスライダーウィジェットでクリックごとのスクロールイベントを使用する
"You can override this default value in CMS using the limit=""x"" variable.","limit = ""x"" 変数を使用して、このデフォルト値をCMSで上書きすることができます。"
"Catalog Events Carousel",カタログイベントカルーセル
"List all open Catalog Events as a Paginated Carousel",すべての展開中のカタログイベントリストをページ表示したカルーセルでリストする
"Frame Size",フレームサイズ
"Number of Items to display at once",一度に表示するアイテムの数
Scroll,スクロール
"Number of Items to scroll per click",クリックごとにスクロールさせるアイテムの数
"Block Custom Width",カスタムブロック横幅
"If empty, we'll automatically set the width value in pixels.",空であれば、自動的に幅の値をピクセル単位で設定します。
"Catalog Events Carousel Default Template",カタログイベントカルーセル標準テンプレート
"Category ID",カテゴリID
"Countdown Ticker",カウントダウンティッカー
"Add Event...",イベントの追加.
Invitations,招待
"Add Invitations",招待を追加
"New Invitations",新規招待
"Invitations Information",招待情報
"Enter Each Email on New Line",メールアドレスを改行で区切って入力してください
"Invitee Group",被招待者グループ
"View Invitation for %1 (ID: %2)","%1 の招待状を表示する（ID： %2）"
"Discard Invitation",招待の破棄
"Are you sure you want to discard this invitation?",この招待を破棄してもよろしいですか？
"Save Invitation",招待を保存
"Send Invitation",招待メールを送信
"Default from System Configuration",システム設定からの標準
"Status History",ステータス履歴
"Order Conversion Rate",注文コンバージョン率
"We can't find this invitation.",この招待状は見つかりません。
"Please select invitations.",招待メールを選択してください。
"We discarded %1 of %2 invitations.","%2 の招待状のうち %1 を破棄しました。"
"We skipped %1 of the selected invitations.","選択した招待状のうち %1 をスキップしました。"
"Something went wrong while sending invitations.",招待状を送信中に問題が発生しました。
"No invitations have been resent.",招待状は再送信されていません。
"You sent %1 of %2 invitation(s).","あなたは %2 の招待状の %1 を送りました。"
"Something went wrong while sending %1 invitations.","%1 の招待状を送信中に問題が発生しました。"
"We discarded %1 invitation(s) addressed to current customers.","現在の顧客宛の %1 の招待状を破棄しました。"
"Please specify at least one email address.",少なくとも1つのメールアドレスを指定してください。
"We sent %1 invitation(s).","%1 の招待状を送りました。"
"Something went wrong while sending %1 of %2 invitations.","%1 の %2 の招待状を送信中に何か問題が発生しました。"
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.",これらのメールアドレスに対して顧客アカウントが既に存在するため、%1個の招待状が送信されませんでした。
"The invitation has been saved.",招待メールを保存しました。
"Invitation Report by Customers",顧客の招待レポート
"Invited Customers Report",招待顧客レポート
"General Report",全般レポート
"Invitations Report",招待状レポート
"Invitation Report by Order Conversion Rate",注文コンバージョン率のレポート
"Conversion Rate Report",コンバージョン率レポート
"The wrong customer account is specified.",間違った顧客アカウントが指定されています。
"Please enter a correct confirmation key.",正しい確認キーを入力してください。.
"Bad request.",不正なリクエスト。
"Your invitation is not valid. Please create an account.","あなたの招待コードは不正です。 アカウントを作成できません。"
"Your invitation is not valid. Please contact us at %1.","あなたの招待状は無効です。 %1 にご連絡ください。"
"We can't save this customer.",この顧客を保存することはできません。
"My Invitations",招待メール
"You sent the invitation for %1.","あなたは %1 の招待状を送ってきました。"
"Something went wrong while sending an email to %1.","%1 にメールを送信中に何か問題が発生しました。"
"We did not send %1 invitation(s) addressed to current customers.",現在の顧客宛の％1の招待状を送信しませんでした。
"Send Invitations",招待メールを送信
"Max Invitations Allowed to be Sent at One Time",一度に送信できる招待メールの件数
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","""%1"" パラメータの値を修正してください。そうでなければ、保存された値を代わりに使用します。"
"Same as Inviter",招待者と同じ
"Default Customer Group from System Configuration",システム設定の標準顧客グループ
"By Invitation Only",招待のみ
"Available to All",すべて利用可能
"Please correct the invitation code.",招待コードを修正してください。
"You need to specify a customer ID group.",顧客IDグループを指定する必要があります。
"The wrong store is specified.",間違った店舗が指定されています。
"You can't update this message.",このメッセージは更新できません。
"We can't generate encrypted code.",暗号化されたコードを生成することはできません。
"We can't find an ID for this invitation.",この招待状のIDは見つかりません。
"You can't send an invitation with status ""%1"".","ステータスが ""%1"" の招待状を送信することはできません。"
"Please enter a valid invitation email.",有効な招待メールを入力してください。
"We can't identify the proper website.",適切なウェブサイトを特定することはできません。
"This invitation is addressed to a current customer: ""%1"".","この招待状は、現在の顧客 ""%1"" に宛てられています。"
"This invitation is not valid.",送信メールが不正です。
"Please correct the invitation email.",招待メールを修正してください。
"Invitation for same email address",同じメールアドレスの招待状
Accepted,承認済
Discarded,破棄済
"Invitation Information",招待情報
"Send At",送信日時
"Invitation Message",招待メッセージ
"Signed Up At",登録日
"Invitation URL",招待URL
Link,リンク
"Invitee Information",被招待者情報
"Customer ID",顧客ID
"Sign Up At",登録日
"Inviter Information",招待者情報
"Invite your friends by entering their email addresses",友達のメールアドレスを入力して招待する
"Back to Invitations",招待に戻る
"Enter Email",メールアドレスを入力
"You cannot send more invitations",これ以上の招待メールは送信できません。
"There are no sent invitations.",送られた招待状はありません。
"%inviter_name invites you to join Private Sales Site",%inviter_nameはあなたをプライベートセールスサイトにご招待します
"Invite to join Private Sales Site",プライベートセールスサイトに招待する
"Please accept this invitation to join %store_name.",%store_nameに参加するには、この招待状を受け入れてください。
"%store_name offers limited time sales of products only to members.","%store_name は限定時間セールをメンバーにのみおこないます。"
"Please use the following link to create an account and view the deals:",アカウントを作成して取引を表示するには、次のリンクを使用してください:
"Invited Customers",招待された顧客
Conversion,変換
"Invitation Section",招待セクション
Conversions,コンバージョン
"Customer Invitation Email Sender",顧客招待メール送信者
"Customer Invitation Email Template",顧客招待メールテンプレート
"Enable Invitations Functionality",招待機能を有効にする
"Enable Invitations on Storefront",ストアでの招待を有効にする
"Referred Customer Group",参照顧客グループ
"New Accounts Registration",新規アカウント登録
"Allow Customers to Add Custom Message to Invitation Email",顧客が招待メールに自由なメッセージを入力することを許可する
"Customer Invitations",顧客招待
"Discard Selected",選択を破棄
"Send Selected",選択したものを送信
Registered,登録済
"Valid Website",有効なウェブサイト
"Invitations Sent",招待送信済
"Invitations Accepted",招待受付済
"Accept Rate",受け入れ率
"Discard Rate",レートの破棄
"Accepted and Purchased",承認と購入
"Conversion Rate",コンバージョン率
Invitation,招待
"The invitation code is incorrect. Verify the code and try again.",招待コードが正しくありません。コードを確認して再度お試し下さい。
"A customer ID group is missing. Enter a group and try again.",顧客IDグループがありません。グループを入力して再度お試し下さい。
"The incorrect store is specified. Verify the store and try again.",不正なストアが指定されています。ストアを確認して再度お試し下さい。
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.",入力されたストアクレジットが無効です。ストアクレジットは注文金額より少なくする必要があります。確認して再度お試し下さい。
"The encrypted code couldn't be generated.",暗号化されたコードを生成できませんでした。
"An ID wasn't found for this invitation. Verify the invitation and try again.","この招待のIDが見つかりませんでした。 招待を確認して、再度お試し下さい。"
"The invitation with the ""%1"" status can't be sent.","""%1"" ステータスの招待は送れません。"
"A valid invitation email is missing. Enter and try again.",有効な招待メールがありません。入力して再度お試し下さい。
"The proper website couldn't be identified",適切なウェブサイトを識別できませんでした。
"This invitation is addressed to current customer ""%1"".","この招待状は、現在の顧客 ""%1"" に宛てられています。"
"List of Products",商品一覧
"Products Grid Template",商品グリッドテンプレート
"Delete Orphan Balances",孤立した残高を削除
"Customer notified",顧客への通知
"More information",詳細情報
"Update Balance",残高更新
"An amount on which to change the balance",残高を変更する額
"Send Email Notification From the Following Store View",以下のストアビューからメール通知を送信
"Failed to initialize customer",顧客の初期化に失敗しました
"The store credit payment has been removed from shopping cart.",ストアクレジットをカートから削除しました。
"You are not using store credit in your shopping cart.",ショッピングカートで店舗クレジットを使用していません。
"Please set a website ID.",ウェブサイトIDを設定してください。
"By admin: %1. (%2)",管理者：%1(%2)
"Please also set the Store ID.",店舗IDも設定してください。
"Please enter a store ID to send email notifications.",電子メール通知を送信するには店舗IDを入力してください
"Please specify a customer ID.",顧客IDを指定してください。
"Please specify a valid customer.",有効な顧客を指定してください。
"You need a balance to save your balance history.",残高履歴を保存するには残高が必要です。
"There is no credit memo set to balance model.",残高モデルに設定されたクレジットメモはありません。
"Order #%1, creditmemo #%2","注文 #%1, クレジットメモ #%2"
"Unknown balance history action code",不明な残高履歴アクションコード
"There is no order set to balance model.",残高モデルにセットされた注文がありません。
"You do not have enough store credit to complete this order.",この注文を完了するのに十分な店舗クレジットがありません。
"You can't use more store credit than the order amount.","注文金額より多いストア クレジットを使用できません。"
"Store Credit Balance",ストアクレジット残高
"Refund Store Credit to Store Credit",ストアクレジットをストアクレジットに返金する
"Refund Money to Store Credit",返金をストアクレジットで行う
"Refund to Store Credit",ストアクレジットに返金する
"Use Store Credit (%1 available)","店舗クレジットを使用する（%1 利用可能）"
"Your balance is:",残高は:
"Use Store Credit",ストアクレジットを使用する
available,利用可能
"Refunded to Store Credit",ストアクレジットに返金済
"Store Credit update",ストアクレジット更新
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","<a href=""%store_url"">%store_name</a>アカウントを更新しました。今後の購入に使用できるクレジットがあります。"
"Your Store Credit balance is now %balance.","あなたの店のクレジット残高は現在 %balance 。"
"Store credit",店舗クレジット
"Store credit available",利用可能な店舗クレジット
"Your store credit was successfully applied",店舗のクレジットが正常に適用されました
"Store Credit Options",ストアクレジットオプション
"Enable Store Credit Functionality",ストアクレジット機能を有効にする
"Show Store Credit History to Customers",顧客のストアクレジット履歴を表示する
"Refund Store Credit Automatically",自動でストアクレジットに返金する
"Store Credit Update Email Sender",ストアクレジット更新メール送信者
"Store Credit Update Email Template",ストアクレジット更新メールテンプレート
"A balance is needed to save a balance history.",残高履歴を保存するためには残高が必要です。
"The balance history action code is unknown. Verify the code and try again.",残高履歴アクションコードが不明です。コードを確認して再度お試し下さい。
"In Review",レビュー中
Unrequested,未リクエスト
"This order already has associated case entity",この注文は既にケースと関連付けられています
"The case entity should not be empty.",ケースは空にできません。
"Cannot update Case entity.",ケースを更新できません。
"The ""%1"" should not be empty.","""%1"" は空にできません。"
"Case entity not found.",ケースが見つかりません。
"Case Update: New score for the order is %1. Previous score was %2.","ケース更新: 注文に対する新しいスコアは %1 です。以前のスコアは %2 でした。"
"Awaiting the Signifyd guarantee disposition.","Signifyd 保証譲渡まち。"
"Only single entrance of ""%1"" node is required.","""%1"" ノードの単一のインスタンスだけが必要です。"
"Not empty value for ""%1"" node is required.","""%1"" ノードの空ではない値が必要です。"
"%1 must implement %2","%1 は、%2 を実装する必要があります"
"Cannot generate message.",メッセージを生成できません。
"Message is generated.",メッセージが生成されます
"Case with the same order id already exists.","同じ注文 IDのケースが存在しています"
"Fraud Protection Information",詐欺行為防止情報
"Signifyd Guarantee Decision","Signifyd 保証の決定"
"Fraud Protection Section",詐欺行為防止セクション
"Fraud Protection",詐欺行為防止
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Signifyd による不正利用防止保証で詐欺からあなたの店を保護しましょう。"
"API URL","API の URL"
"Admin Actions Log Archive",管理者アクションログアーカイブ
"Log Entry #%1","ログエントリ #%1"
"Log Entry Details",ログエントリ詳細
"Source Data",ソースデータ
"Value Before Change",変更前の値
"Value After Change",変更後の値
"No changes",変更なし
"The item was deleted",アイテムが削除されました
"Admin Actions Log",管理者アクションログ
"Admin Actions Archive",管理アクションアーカイブ
"actions' 'label","アクション' 'ラベル"
"%1 & applied","%1 & 適用済み"
"Tax Rates Import",課税率インポート
"Attributes Updated",属性更新
"Currency Rates Saved",為替レート保存
"Cache types: %1 ","キャッシュの種類：%1 "
"Tax Rates Export",課税率エクスポート
"Unknown callback function: %1::%2","未知のコールバック関数: %1::%2"
Success,成功
Failure,失敗
"This user is locked",このユーザーはロックされています
"Admin User Data",管理者ユーザーデータ
"Aggregated Information",統計情報
"Admin User ID",管理者ユーザーID
"Admin User Name",管理者ユーザー名
IP-Address,IPアドレス
"X-Forwarded For","X-Forwarded のため"
"Error Message",エラーメッセージ
"Related Changes",関連する変更
Logging,ロギング
"Admin Actions Log Archiving",管理者アクションログアーカイブ
"Log Entry Lifetime, Days",ログエントリ保存期間
"Log Archiving Frequency",ログアーカイブ頻度
"Admin Actions Logging",管理者アクションログ
"Enabled Actions",有効なアクション
"Mass Delete",一括削除
"Mass Update",一括更新
"Reindex Process",再インデックス処理
Clean,クリーン
Flush,フラッシュ
"Update Payment",支払いの更新
"Update State",状態を更新する
"Catalog Products",カタログ商品
"Catalog Categories",カテゴリ
"Catalog Ratings",カタログ評価
"Catalog Reviews",カタログレビュー
"Catalog Attributes",カタログ属性
"Catalog Product Templates",カタログ製品テンプレート
"Admin Sign In",管理者ログイン
"System Configuration",システム設定
"Admin My Account",管理者アカウント
"Sales Orders",注文
"Sales Order Status",注文ステータス
"Sales Invoices",請求書
"Sales Shipments",配送
"Sales Credit Memos",販売クレジットメモ
"Admin Permission Roles",管理者権限
"Admin Permission Users",管理者ユーザー
"Manage Websites",ウェブサイト管理
"Manage Store Views",ストアビュー管理
"Manage Design",デザイン管理
"Transactional Emails",取引メール
"System Backups",システムバックアップ
"Customer Tax Classes",顧客税区分
"Catalog Product Tax Classes",カタログ商品税区分
"Tax Rates",課税率
"Archive File",アーカイブファイル
"Action Group",アクショングループ
Result,結果
"Full Action Name",アクション名
"Full Details",詳細
"Index Management",インデックス管理
"Indexer Management",インデックス処理管理
"Update by Schedule",スケジュールアップデート
"Update on Save",逐次更新
"Reindex required",要再インデックス
Ready,準備完了
"%1 index is locked by another reindex process. Skipping.",%1インデックスは別の再インデックスプロセスによってロックされています。スキップします。
"Please select indexers.",インデックス処理を選択してください
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 インデックス処理 は""Update by Schedule""モードです。"
"We couldn't change indexer(s)' mode because of an error.",エラーのためインデックス処理のモードを変更できませんでした
"%1 indexer(s) are in ""Update on Save"" mode.","%1iインデックス処理は""Update on Save""モードです。"
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","1つかそれ以上の<a href=""%1"">インデックス処理は無効です</a>。 <a href=""%2"" target=""_blank"">Magento cron ジョブ</a>が動いているか確認してください。"
"State for the same indexer",同じインデックス処理のための状態
"State for the same view",同じビューのための状態
"Field '%1' not found","フィールド  '%1' が見つかりません"
"Some Exception Message",Exceptionメッセージ
"Change indexer mode",インデックス処理モードを変更する
Indexer,インデックス処理
"There is no such data mapper ""%1"" for interface %2","インターフェイス %2 に対する ""%1"" というデータマッパーはありません"
"Data mapper ""%1"" must implement interface %2","データ マッパー""%1"" はインターフェイス %2 を実装する必要があります"
"""url"" argument should be specified and not empty","""url"" 引数を指定し、空にしないでください"
"Return Html Version",HTMLバージョンに戻る
"Load Template",テンプレートを読み込む
"Edit Email Template",メールテンプレートの編集
"New Email Template",新規メールテンプレート
"Currently Used For",現在使用されている
Unknown,不明
"You deleted the email template.",Eメールのテンプレートを削除しました
"The email template is currently being used.",メールテンプレートは現在使われております
"We can't delete email template data right now. Please review log and try again.",メールのテンプレートは現在削除できません。後で再度お試しください。
"We can't find an email template to delete.",Eメールテンプレートで削除するものがみつかりません
"Edit System Template",システムテンプレートの編集
"New System Template",新規システムテンプレート
"Email Preview","Email プレビュー"
"An error occurred. The email template can not be opened for preview.","エラーが発生しました。 メールテンプレートはプレビューのために開くことができません"
"This email template no longer exists.",このメールテンプレートはもはや存在しません
"You saved the email template.",Eメールテンプレートを保存しました。
"Area is already set",地域は既に設定してあります
"Design config must have area and store.",デザインコンフィグはエリアとストアがなくてはなりません
"Base Unsecure URL",ベースURL
"Base Secure URL",セキュアベースURL
"General Contact Name",総合受付担当者名
"General Contact Email",総合受付メールアドレス
"Sales Representative Contact Name",セールス担当者名
"Sales Representative Contact Email",セールス担当者メールアドレス
"Custom1 Contact Name",カスタム問い合わせ担当者名1
"Custom1 Contact Email",カスタム問い合わせメールアドレス1
"Custom2 Contact Name",カスタム問い合わせ担当者名2
"Custom2 Contact Email",カスタム問い合わせメールアドレス2
"Store Hours",営業時間
"Street Address 1",住所1
"Street Address 2",番地2
"Store Contact Information",店舗コンテンツ情報
"Template Variables",テンプレート変数
"Please enter a template name.",テンプレート名を入力
"Duplicate Of Template Name",テンプレート名の複製
"Invalid transactional email code: %1","不正なトランザクション用Emailコード: %1"
"Requested invalid store ""%1""","不正なストア ""%1""が注文されました "
"""file"" parameter must be specified","""ファイル"" パラメーターは指定されていなければなりません"
"Contents of %s could not be loaded or is empty",%sのコンテンツはロードできなかったか空です。
"""file"" parameter must be specified and must not be empty","""ファイル"" パラメーターは指定されていなければならないし空であってもならない。"
"Design params must be set before calling this method",このメソッドを呼ぶ前にデザインパラメーターは設定されてなければならない
"CSS inlining error:","CSS インラインエラー:"
"Error filtering template: %s","テンプレ−トのフィルタリングエラー: %s"
"We're sorry, an error has occurred while generating this content.",申し訳ありません、このコンテンツを生成中に問題が発生しました。
"Invalid sender data",不正な送信者データ
"Load default template",標準のテンプレートを読み込む
